text,intent
I need to know: calculate total order value for each customer.,GROUP_BY
Please give me a breakdown of orders by customer.,GROUP_BY
Show the top 50 customers by number of orders.,TOP_N
Please show orders from this month.,DATE_FILTER
Please random words,INVALID_QUERY
Please find orders with amounts greater than the average order amount.,SUBQUERY
I need to know: which group has higher sales?,COMPARISON
Show customers from Mumbai.,FILTER
Please find the smallest order amount.,MINIMUM
I want to know: find orders above the average order amount.,SUBQUERY
I want to know: what is the number of product records?,COUNT
Could you which products have never received a review?,NOT_EXISTS
Show sales by month.,DATE_AGGREGATION
Can you which ratings have more than 100 reviews?,HAVING
Modify the database configuration.,UNSUPPORTED_REQUEST
Please how much have orders grown?,GROWTH
I want to know: give me the top 3 products with the most reviews.,TOP_N
I want to know: show distinct product categories.,DISTINCT
I need to know: find the highest order value.,MAXIMUM
Could you show products ordered by each customer.,MULTI_TABLE_JOIN
I want to know: how are products and order items related?,RELATIONSHIP_INFO
Could you show sales growth compared with the previous period.,GROWTH
I want to know: show total sales by product.,GROUP_BY
I need to know: show the bottom 10 products by price.,BOTTOM_N
Which group has higher sales?,COMPARISON
Please show products ordered by each customer.,MULTI_TABLE_JOIN
Show orders from December.,DATE_FILTER
I need to know: rank products by number of reviews.,RANKING
Can you calculate the growth in order value.,GROWTH
Can you show orders where information is unavailable.,NULL_CHECK
Could you what percentage of customers have placed orders?,PERCENTAGE
I want to know: calculate the proportion of customers with orders.,PERCENTAGE
Find orders from this year.,FILTER
Could you show the top 50 orders by amount.,TOP_N
What different product categories exist?,DISTINCT
Could you find the ratio of customers with orders to total customers.,RATIO
Can you show customers with their orders and order items.,MULTI_TABLE_JOIN
I need to know: which products have reviews?,EXISTS
How many items in the product catalog are there?,COUNT
Can you what is the minimum order amount?,MINIMUM
I want to know: show sales growth compared with the previous period.,GROWTH
List orders from this year.,FILTER
Could you what is the average customer spending?,AVERAGE
How are products and reviews related?,RELATIONSHIP_INFO
Can you how much have orders grown?,GROWTH
Please show orders with their order items.,JOIN
Show the structure of products.,TABLE_INFO
I need to know: how has revenue changed over time?,TREND
Something random,INVALID_QUERY
Please show product reviews with product information.,JOIN
I want to know: i don't know what to ask,INVALID_QUERY
Please i don't know what to ask?,INVALID_QUERY
Update every customer record.,UNSUPPORTED_REQUEST
Could you count all the orders.,COUNT
I need to know: what is the number of product records?,COUNT
I want to know: what is the average customer spending?,AVERAGE
I need to know: which tables can be joined with orders?,RELATIONSHIP_INFO
Could you hello?,GREETING
Please rank products by price.,RANKING
Can you show all distinct ratings.,DISTINCT
Can you show the number of reviews for each product.,GROUP_BY
Please rank customers by number of orders.,RANKING
I need to know: are there missing values in customers?,DATA_QUALITY
Please show all distinct ratings.,DISTINCT
Could you show orders from May.,DATE_FILTER
Please show the top 3 products by price.,TOP_N
I want to know: show customers with their orders.,JOIN
I want to know: check customers for duplicate records.,DUPLICATE_CHECK
I want to know: what percentage of customers have placed orders?,PERCENTAGE
Find orders from this month.,FILTER
Which products have reviews?,EXISTS
Which table is related to customers?,RELATIONSHIP_INFO
Give me a breakdown of orders by customer.,GROUP_BY
I want to know: show unique customer cities.,DISTINCT
Please what data tables are available?,SCHEMA_INFO
I need to know: how many orders have been placed?,COUNT
Can you show customers ordered by number of orders.,SORT
Could you show orders from newest to oldest.,SORT
Can you how has revenue changed over time?,TREND
I want to know: show products along with their orders and customers.,MULTI_TABLE_JOIN
What is the number of customer records?,COUNT
Could you what is the ratio of reviews to products?,RATIO
Could you list orders from this year.,DATE_FILTER
Please which products contribute most to total sales?,CONTRIBUTION
Can you calculate monthly order totals.,DATE_AGGREGATION
Please check the data quality of order items.,DATA_QUALITY
I want to know: how much has revenue increased?,GROWTH
Please what is the mean order amount?,AVERAGE
Please calculate each customer's share of total spending.,SHARE
Delete all customers.,UNSUPPORTED_REQUEST
Could you compare order totals across different periods.,CHANGE_OVER_TIME
Please show orders from April.,DATE_FILTER
"Please connect customers, orders, order items, and products.",MULTI_TABLE_JOIN
Can you which customers have placed orders?,JOIN
Could you what is the growth in sales?,GROWTH
Please order products by their price.,SORT
Can you show each product's contribution to total revenue.,CONTRIBUTION
Show the top 10 customers by number of orders.,TOP_N
Can you which tables can be joined with products?,RELATIONSHIP_INFO
I need to know: drop the customers table.,UNSUPPORTED_REQUEST
Describe the products table.,TABLE_INFO
I need to know: compare sales across two groups.,COMPARISON
Please which customers purchased which products?,MULTI_TABLE_JOIN
Please how are customers and reviews related?,RELATIONSHIP_INFO
Please list unique product categories.,DISTINCT
Show the bottom 20 orders by amount.,BOTTOM_N
Check the database for data quality problems.,DATA_QUALITY
Please show reviews grouped by rating.,GROUP_BY
Please delete all orders.,UNSUPPORTED_REQUEST
Please describe the customers table.,TABLE_INFO
Please what is the number of product records?,COUNT
Please how many unique customer cities are there?,DISTINCT
I want to know: which orders contain which order items?,JOIN
I need to know: find orders with amounts greater than the average order amount.,SUBQUERY
Can you which records have null values?,NULL_CHECK
Give me the product count.,COUNT
Can you which products appear in order items?,JOIN
Can you calculate the average order value.,AVERAGE
Could you describe the order_items table.,TABLE_INFO
I want to know: show the bottom 10 products by price.,BOTTOM_N
Can you delete all reviews.,UNSUPPORTED_REQUEST
Can you show all products whether or not they have reviews.,LEFT_JOIN
I want to know: show the bottom 20 orders by amount.,BOTTOM_N
Please good morning?,GREETING
I want to know: which products contribute the most to revenue?,CONTRIBUTION
Can you delete every product.,UNSUPPORTED_REQUEST
Could you show the bottom 50 customers by spending.,BOTTOM_N
I want to know: show all unique customer locations.,DISTINCT
Show the bottom 3 products by rating.,BOTTOM_N
Calculate the average price of products.,AVERAGE
Can you calculate each product's share of total sales.,SHARE
Can you which product has the largest share of sales?,SHARE
Please show period-over-period changes in revenue.,CHANGE_OVER_TIME
Please find the average review rating.,AVERAGE
Please list orders from this month.,DATE_FILTER
Can you analyze the change in sales over time.,TREND
Show customers from Pune.,FILTER
I need to know: check the data quality of orders.,DATA_QUALITY
Please calculate changes in order volume over time.,CHANGE_OVER_TIME
Could you list unique product categories.,DISTINCT
I want to know: find the highest order value.,MAXIMUM
Could you hello QueryPilot,GREETING
Can you what tables are in the database?,SCHEMA_INFO
List orders from this month.,DATE_FILTER
Could you show revenue by month.,DATE_AGGREGATION
Could you find the smallest order amount.,MINIMUM
Could you this is not a database question,INVALID_QUERY
Can you show the historical sales trend.,TREND
Could you show monthly order trends.,TREND
I want to know: what percentage of products are highly rated?,PERCENTAGE
Could you show all customers including those without orders.,LEFT_JOIN
Please show orders grouped by customer.,GROUP_BY
I want to know: find products that have no reviews.,NOT_EXISTS
I need to know: sort customers by number of orders.,SORT
Can you sort products by rating.,SORT
Can you find the lowest order value.,MINIMUM
Could you give me the top 3 products with the most reviews.,TOP_N
I want to know: what is the minimum customer spending?,MINIMUM
Could you find orders placed this month.,DATE_FILTER
Show orders grouped by year.,DATE_AGGREGATION
I need to know: list every product with reviews if available.,LEFT_JOIN
What percentage of products are highly rated?,PERCENTAGE
I need to know: give me a breakdown of reviews by product.,GROUP_BY
Can you show the top 10 orders by amount.,TOP_N
Compare the performance of two products.,COMPARISON
Please which customers have the highest spending?,SORT
Can you what is the total number of products?,COUNT
Can you calculate yearly order totals.,DATE_AGGREGATION
Could you show customers who have placed an order.,EXISTS
Can you what is the average product rating?,AVERAGE
Please list every order with its items if available.,LEFT_JOIN
I don't know what to ask,INVALID_QUERY
Can you how are products and order items related?,RELATIONSHIP_INFO
I want to know: list distinct customer cities.,DISTINCT
Could you find orders placed this year.,DATE_FILTER
Could you hi QueryPilot,GREETING
Could you what data tables are available?,SCHEMA_INFO
Can you rank customers by number of orders.,RANKING
Rank products by number of reviews.,RANKING
Please compare customer spending.,COMPARISON
Which orders have order items?,EXISTS
What is the ranking of products by price?,RANKING
Could you how much money was generated from orders?,SUM
Compare product ratings.,COMPARISON
I want to know: what is the ranking of products by price?,RANKING
Please show customer names with the products they purchased.,MULTI_TABLE_JOIN
I need to know: what is the ratio between product reviews and products?,RATIO
How are orders changing over time?,TREND
What is the ratio between product reviews and products?,RATIO
Could you show the bottom 50 customers by number of orders.,BOTTOM_N
Which customers contribute the most to total sales?,CONTRIBUTION
Could you which product has the lowest rating?,MINIMUM
Please hello QueryPilot,GREETING
I need to know: show all unique customer locations.,DISTINCT
qwerty?,INVALID_QUERY
I want to know: qwerty?,INVALID_QUERY
Please show the top 3 customers by spending.,TOP_N
Please show orders from May.,DATE_FILTER
Can you show orders from February.,DATE_FILTER
Can you describe the customers table.,TABLE_INFO
Can you show the bottom 20 customers by spending.,BOTTOM_N
I want to know: what columns are in the customers table?,TABLE_INFO
Could you which records have null values?,NULL_CHECK
I need to know: find orders placed this month.,DATE_FILTER
I want to know: compare order amounts between two periods.,COMPARISON
I want to know: give me the ranking of customers by spending.,RANKING
I want to know: what data tables are available?,SCHEMA_INFO
What is the average order amount?,AVERAGE
Can you which products have received reviews?,JOIN
Something random?,INVALID_QUERY
I need to know: are there duplicate product records?,DUPLICATE_CHECK
Could you find orders above 5000.,FILTER
I need to know: show all products whether or not they have reviews.,LEFT_JOIN
I need to know: give me something meaningless,INVALID_QUERY
Could you which ratings have more than 100 reviews?,HAVING
Please show the top 10 products by rating.,TOP_N
Give me the top 50 products with the most reviews.,TOP_N
Please calculate the proportion of customers with orders.,PERCENTAGE
Can you this does not make sense,INVALID_QUERY
Could you compare the performance of two products.,COMPARISON
Show the complete customer order history with products.,MULTI_TABLE_JOIN
Could you show the bottom 3 orders by amount.,BOTTOM_N
Find customers whose spending is above the average customer spending.,SUBQUERY
How many ordered products are there?,COUNT
Find customers from Hyderabad.,FILTER
I need to know: which customers have placed more than 10 orders?,HAVING
Can you show order totals by month.,DATE_AGGREGATION
I need to know: show orders where information is unavailable.,NULL_CHECK
I need to know: which products appear in order items?,JOIN
Please show orders with missing values.,NULL_CHECK
Could you find products that have no reviews.,NOT_EXISTS
I want to know: show the schema of the database.,SCHEMA_INFO
I need to know: what is the average product price?,AVERAGE
Could you find duplicate orders.,DUPLICATE_CHECK
Can you which product has the highest rating?,MAXIMUM
Could you show total sales by customer.,GROUP_BY
Show the bottom 20 products by rating.,BOTTOM_N
List products with low ratings.,FILTER
Could you rank customers by spending.,RANKING
I want to know: show products with more than 20 reviews.,HAVING
Could you show the top 5 orders by amount.,TOP_N
Please find the average product rating.,AVERAGE
I need to know: delete all customers.,UNSUPPORTED_REQUEST
Show customers ordered by spending.,SORT
Please which products have a rating above the average rating?,SUBQUERY
Please show customers with their orders and order items.,MULTI_TABLE_JOIN
Could you what different product categories exist?,DISTINCT
I need to know: show the historical sales trend.,TREND
Please compare product ratings.,COMPARISON
Please what entities are stored in the database?,SCHEMA_INFO
Could you list all available tables.,SCHEMA_INFO
I want to know: give me a data quality report.,DATA_QUALITY
Are there duplicate customer records?,DUPLICATE_CHECK
Show orders from highest amount to lowest.,SORT
I want to know: find duplicate orders.,DUPLICATE_CHECK
Please what is the average product price?,AVERAGE
Please group customers by orders and show groups with more than 10 orders.,HAVING
Can you show the bottom 20 customers by number of orders.,BOTTOM_N
Please show customers whose total spending exceeds the average.,SUBQUERY
Find orders placed last month.,DATE_FILTER
I need to know: show the bottom 50 customers by spending.,BOTTOM_N
Can you compare product ratings.,COMPARISON
I need to know: describe the product_reviews table.,TABLE_INFO
Could you which customers have the highest spending?,SORT
Could you which customers have placed orders?,JOIN
Could you how much did sales change over time?,CHANGE_OVER_TIME
Can you calculate the percentage of orders from this month.,PERCENTAGE
Show orders where information is unavailable.,NULL_CHECK
I need to know: hi there?,GREETING
How are products and order items related?,RELATIONSHIP_INFO
Please compare order amounts between two periods.,COMPARISON
I need to know: what is the total number of customers?,COUNT
Could you calculate monthly order totals.,DATE_AGGREGATION
I want to know: give me the average order value.,AVERAGE
I need to know: find the lowest order value.,MINIMUM
Can you explain the foreign key relationships.,RELATIONSHIP_INFO
Can you rank products by number of reviews.,RANKING
I need to know: what is the growth in sales?,GROWTH
Please compare order totals across different periods.,CHANGE_OVER_TIME
Please how many items in orders are there?,COUNT
I want to know: which products have never received a review?,NOT_EXISTS
Can you give me the top 3 products with the most reviews.,TOP_N
I need to know: delete every product.,UNSUPPORTED_REQUEST
Please show the top 3 customers by number of orders.,TOP_N
Please are there duplicate products?,DATA_QUALITY
Can you describe the order_items table.,TABLE_INFO
Please find customers who have no orders.,NOT_EXISTS
Could you show the order trend over time.,TREND
Could you what is the maximum customer spending?,MAXIMUM
I want to know: show review count by product.,GROUP_BY
I need to know: what percentage of products have reviews?,PERCENTAGE
Can you show orders from this month.,DATE_FILTER
I need to know: asdfgh?,INVALID_QUERY
Please calculate the ratio of orders to customers.,RATIO
I need to know: which customer accounts for the largest share of spending?,SHARE
Which customers have never placed an order?,NOT_EXISTS
Can you can you help me?,GREETING
Please show customers whose total spending exceeds 10000.,HAVING
I want to know: asdfgh?,INVALID_QUERY
Could you check the data quality of product reviews.,DATA_QUALITY
I want to know: show revenue growth over time.,TREND
I want to know: how are customers and reviews related?,RELATIONSHIP_INFO
Could you what columns are in the orders table?,TABLE_INFO
Could you what is the maximum order amount?,MAXIMUM
I want to know: show monthly order trends.,TREND
What different cities do customers come from?,DISTINCT
I need to know: can you do something impossible?,INVALID_QUERY
Show orders with customers and products.,MULTI_TABLE_JOIN
Can you show orders from January.,DATE_FILTER
What is the total value of all orders?,SUM
What is the growth rate of sales?,GROWTH
How much did sales change over time?,CHANGE_OVER_TIME
How many customers in the database are there?,COUNT
Please show each product's contribution to total revenue.,CONTRIBUTION
Can you which group has higher sales?,COMPARISON
I want to know: rank products by rating.,RANKING
I want to know: which product has the highest price?,MAXIMUM
Find products with low ratings.,FILTER
Can you calculate customer contribution to total spending.,CONTRIBUTION
Can you hey,GREETING
Describe the product_reviews table.,TABLE_INFO
Which products have the highest ratings?,SORT
Hi there,GREETING
I need to know: show customers ordered by spending.,SORT
Can you find duplicate customers.,DUPLICATE_CHECK
I want to know: calculate the growth in order value.,GROWTH
I want to know: show month-to-month changes in sales.,CHANGE_OVER_TIME
I want to know: what is the total number of products?,COUNT
List customers and their orders.,JOIN
I need to know: order products by their price.,SORT
I need to know: find orders that contain order items.,EXISTS
Can you this does not make sense?,INVALID_QUERY
I need to know: show the bottom 5 products by rating.,BOTTOM_N
Could you show the bottom 10 customers by number of orders.,BOTTOM_N
Are there duplicate product records?,DUPLICATE_CHECK
Please how many customer orders are there?,COUNT
I want to know: show orders with customers and products.,MULTI_TABLE_JOIN
Could you show the distribution of order amounts.,DISTRIBUTION
I want to know: find the average review rating.,AVERAGE
I want to know: show orders from last month.,DATE_FILTER
Please calculate average rating for each product.,GROUP_BY
I need to know: sort customers by spending.,SORT
I need to know: show the structure of customers.,TABLE_INFO
I want to know: this is not a database question,INVALID_QUERY
Describe the customers table.,TABLE_INFO
Can you calculate total revenue from orders.,SUM
Calculate monthly order totals.,DATE_AGGREGATION
I want to know: show revenue grouped by year.,DATE_AGGREGATION
Can you how are product prices distributed?,DISTRIBUTION
Show the bottom 50 orders by amount.,BOTTOM_N
Please how are products and order items related?,RELATIONSHIP_INFO
Could you what is the minimum order amount?,MINIMUM
List customers from Mumbai.,FILTER
Can you give me something meaningless?,INVALID_QUERY
Could you describe the customers table.,TABLE_INFO
"Could you show customers, orders, and products.",MULTI_TABLE_JOIN
I need to know: what is the average customer spending?,AVERAGE
Can you calculate the ratio of high rated products to all products.,RATIO
Can you good afternoon?,GREETING
Could you what is the lowest product price?,MINIMUM
Rank products by rating.,RANKING
I need to know: which products have more than 10 reviews?,HAVING
I need to know: show order count by customer.,GROUP_BY
Can you describe the orders table.,TABLE_INFO
Check the data quality of customers.,DATA_QUALITY
Can you show revenue by month.,DATE_AGGREGATION
I need to know: sort orders by date.,SORT
Please show changes in order amounts over time.,CHANGE_OVER_TIME
Please show customers ordered by spending.,SORT
I need to know: which customers purchased which products?,MULTI_TABLE_JOIN
Could you show orders from August.,DATE_FILTER
Rank orders by amount.,RANKING
Could you random words,INVALID_QUERY
I want to know: show me the database schema.,SCHEMA_INFO
I want to know: show orders where information is unavailable.,NULL_CHECK
Could you rank products by number of reviews.,RANKING
Could you compare sales across two groups.,COMPARISON
I need to know: list products with high ratings.,FILTER
Can you find products that may not have reviews.,LEFT_JOIN
I need to know: show customers with their orders.,JOIN
Can you show products without reviews.,NOT_EXISTS
Can you what is the average product price?,AVERAGE
I need to know: show customers ordered by number of orders.,SORT
Find customers who have at least one order.,EXISTS
What columns are in the products table?,TABLE_INFO
Could you show customers and the products they ordered.,MULTI_TABLE_JOIN
Show the bottom 20 customers by spending.,BOTTOM_N
I need to know: sort products by rating.,SORT
Are there invalid orders?,DATA_QUALITY
I want to know: hey there?,GREETING
Please what percentage of orders are above 5000?,PERCENTAGE
Can you modify the database configuration.,UNSUPPORTED_REQUEST
I want to know: how many customers in the database are there?,COUNT
Show unique customer cities.,DISTINCT
I need to know: how many product reviews are there?,COUNT
Can you which orders have the highest amounts?,SORT
Show customers with missing information.,NULL_CHECK
I need to know: show the top 10 products by price.,TOP_N
Can you check the data quality of customers.,DATA_QUALITY
I want to know: show the top 3 customers by spending.,TOP_N
I want to know: show customers from Mumbai.,FILTER
What is the total number of customers?,COUNT
I need to know: find the smallest order amount.,MINIMUM
I want to know: count all the orders.,COUNT
Can you find the highest order value.,MAXIMUM
Can you show the schema of the database.,SCHEMA_INFO
Please which products have more than 10 reviews?,HAVING
Can you find reviews with missing ratings.,NULL_CHECK
I want to know: show orders from May.,DATE_FILTER
Could you show all distinct ratings.,DISTINCT
Can you which customers have never placed an order?,NOT_EXISTS
I want to know: what is the average order amount?,AVERAGE
Could you give me a data quality report.,DATA_QUALITY
Can you show reviews with high ratings.,FILTER
Show customers from Bangalore.,FILTER
Could you show all customers whether or not they placed an order.,LEFT_JOIN
Find the lowest order value.,MINIMUM
Please drop the products table.,UNSUPPORTED_REQUEST
Which product has the largest share of sales?,SHARE
Please calculate total order value for each customer.,GROUP_BY
I want to know: how has revenue changed over time?,TREND
I need to know: find reviews with low ratings.,FILTER
Please what different cities do customers come from?,DISTINCT
Can you what share of revenue comes from each product?,SHARE
What columns are in the product_reviews table?,TABLE_INFO
Can you find orders without order items.,NOT_EXISTS
Could you which customers have never placed an order?,NOT_EXISTS
I want to know: calculate the percentage of orders from this month.,PERCENTAGE
Please what percentage of customers have placed orders?,PERCENTAGE
I need to know: show the structure of products.,TABLE_INFO
I want to know: find customers who have no orders.,NOT_EXISTS
Could you what fields does customers contain?,TABLE_INFO
I need to know: hello there?,GREETING
Could you what is the mean order amount?,AVERAGE
Could you what percentage of reviews have a rating above 4?,PERCENTAGE
Please show average rating by product.,GROUP_BY
Please show the complete customer order history with products.,MULTI_TABLE_JOIN
Please give me the top 20 products with the most reviews.,TOP_N
Please give me the average order value.,AVERAGE
Can you list orders above 1000.,FILTER
Can you show recent orders.,DATE_FILTER
Can you find the ratio of customers with orders to total customers.,RATIO
Check the data quality of order items.,DATA_QUALITY
Which customer accounts for the largest share of spending?,SHARE
I want to know: show the distribution of product ratings.,DISTRIBUTION
Please show the bottom 50 products by price.,BOTTOM_N
Can you show orders from last month.,DATE_FILTER
Please which customers have placed orders?,JOIN
How many products are there?,COUNT
List every order with its items if available.,LEFT_JOIN
Please how much has revenue increased?,GROWTH
Hi QueryPilot?,GREETING
Can you are there duplicate customer records?,DUPLICATE_CHECK
I want to know: which customers have placed more than 10 orders?,HAVING
I want to know: are there invalid orders?,DATA_QUALITY
Can you good morning,GREETING
Please show customers ordered by number of orders.,SORT
Could you what tables are in the database?,SCHEMA_INFO
Could you what is the number of product records?,COUNT
Can you rank products by rating.,RANKING
Show the bottom 10 customers by number of orders.,BOTTOM_N
Please count all the customers.,COUNT
I need to know: how many customer records are there?,COUNT
Please what is the maximum customer spending?,MAXIMUM
Please random unrelated question?,INVALID_QUERY
Could you which products have a rating above the average rating?,SUBQUERY
Could you give me the order count.,COUNT
Could you can you do something impossible?,INVALID_QUERY
Calculate total order value for each customer.,GROUP_BY
Can you rank products by price.,RANKING
Show the order trend over time.,TREND
Could you how many unique customer cities are there?,DISTINCT
Could you find the largest order amount.,MAXIMUM
I want to know: show products priced above the average product price.,SUBQUERY
I want to know: hi?,GREETING
I want to know: show the bottom 3 products by rating.,BOTTOM_N
I want to know: show monthly order counts.,DATE_AGGREGATION
I need to know: what is the average order amount?,AVERAGE
What is the average product price?,AVERAGE
I want to know: hi there,GREETING
I need to know: this does not make sense?,INVALID_QUERY
Could you show orders from October.,DATE_FILTER
Could you show the bottom 3 products by price.,BOTTOM_N
I want to know: what percentage of products have reviews?,PERCENTAGE
Show order count by customer.,GROUP_BY
I need to know: what columns are in the product_reviews table?,TABLE_INFO
List every product with reviews if available.,LEFT_JOIN
I need to know: qwerty,INVALID_QUERY
I want to know: what columns are in the order_items table?,TABLE_INFO
Please identify duplicate entries in the database.,DUPLICATE_CHECK
I want to know: random unrelated question?,INVALID_QUERY
I want to know: something random,INVALID_QUERY
I want to know: show the top 20 orders by amount.,TOP_N
I need to know: give me the total sales amount.,SUM
